iter	RMSE
0	26.93143252
1	26.05118453
2	25.3117168
3	24.59254478
4	23.88462436
5	23.24760922
6	22.43255767
7	21.71152067
8	21.17631986
9	20.57171597
10	20.01032745
11	19.4995148
12	19.02300077
13	18.42988265
14	17.99970886
15	17.43412524
16	16.93651993
17	16.49720377
18	16.04939392
19	15.60057624
20	15.23312448
21	14.7869348
22	14.43421922
23	14.06005304
24	13.70201984
25	13.4143507
26	13.07263424
27	12.73920003
28	12.43081764
29	12.13815659
30	11.85024976
31	11.52123268
32	11.2692154
33	10.99267483
34	10.71415158
35	10.50240355
36	10.25789251
37	10.06303377
38	9.820504671
39	9.611484747
40	9.475800139
41	9.253621208
42	9.021344414
43	8.82325572
44	8.662508576
45	8.487637382
46	8.305938452
47	8.162801114
48	8.02267255
49	7.865180755
50	7.708216854
51	7.554651589
52	7.429430003
53	7.292305119
54	7.183397343
55	7.083346275
56	6.957735613
57	6.841908368
58	6.714953128
59	6.616072394
60	6.510550556
61	6.385146596
62	6.2992255
63	6.187815438
64	6.068165252
65	5.977966447
66	5.885353284
67	5.781974103
68	5.687585785
69	5.604309212
70	5.518610729
71	5.439998835
72	5.379425201
73	5.280523207
74	5.199998829
75	5.102394191
76	5.038380968
77	4.955750295
78	4.891971313
79	4.805759163
80	4.739950261
81	4.678312109
82	4.595757264
83	4.531323283
84	4.448753009
85	4.379161444
86	4.315416269
87	4.254374081
88	4.188205028
89	4.127164493
90	4.059263782
91	4.000243189
92	3.957998455
93	3.896529949
94	3.842580013
95	3.782926455
96	3.722531033
97	3.649978128
98	3.603855547
99	3.555300563
100	3.509431004
101	3.456400539
102	3.406408905
103	3.359406456
104	3.311881237
105	3.261800235
106	3.215241152
107	3.169114968
108	3.11939319
109	3.080139415
110	3.03720972
111	2.993850673
112	2.954984116
113	2.912641161
114	2.871244599
115	2.830252908
116	2.787478727
117	2.749179434
118	2.711845289
119	2.690707287
120	2.644559683
121	2.60263627
122	2.561830683
123	2.523489157
124	2.487244094
125	2.447422252
126	2.400246385
127	2.365047677
128	2.327530367
129	2.289804588
130	2.249722113
131	2.220618373
132	2.183134607
133	2.153848002
134	2.122016999
135	2.092338802
136	2.055971244
137	2.028089199
138	2.000270322
139	1.964154812
140	1.935496803
141	1.909856804
142	1.881043671
143	1.860976135
144	1.835235554
145	1.815513869
146	1.789454368
147	1.761664943
148	1.731980255
149	1.714081677
150	1.694188637
151	1.673818355
152	1.657058919
153	1.635860594
154	1.620546937
155	1.592398531
156	1.571496001
157	1.55154634
158	1.536324937
159	1.515316957
160	1.489597742
161	1.477195976
162	1.46311224
163	1.449425659
164	1.432278498
165	1.411306542
166	1.387948679
167	1.375422117
168	1.363874342
169	1.352960241
170	1.341151177
171	1.318815503
172	1.297329047
173	1.283658768
174	1.272484477
175	1.262777863
176	1.242042727
177	1.234652898
178	1.217119119
179	1.198216145
180	1.178116414
181	1.169348608
182	1.160809698
183	1.143412597
184	1.133343522
185	1.125149553
186	1.111445981
187	1.098488032
188	1.082837844
189	1.065234855
190	1.057769562
191	1.04872834
192	1.041473143
193	1.029704846
194	1.021187205
195	1.01425442
196	1.003038073
197	0.9967272547
198	0.9886993345
199	0.977979617
