iter	Passed	Remaining
0	8	1678
1	16	1628
2	23	1565
3	30	1501
4	37	1457
5	43	1420
6	50	1400
7	57	1369
8	63	1353
9	70	1335
10	77	1323
11	83	1308
12	90	1294
13	93	1242
14	100	1235
15	108	1243
16	116	1249
17	122	1241
18	130	1238
19	136	1229
20	143	1220
21	146	1189
22	153	1180
23	159	1171
24	166	1165
25	173	1158
26	179	1148
27	185	1140
28	192	1134
29	199	1128
30	206	1123
31	212	1115
32	218	1108
33	224	1096
34	231	1090
35	237	1081
36	244	1075
37	251	1073
38	260	1077
39	273	1092
40	292	1132
41	309	1162
42	326	1191
43	346	1227
44	355	1226
45	366	1226
46	375	1223
47	383	1215
48	394	1214
49	403	1210
50	413	1208
51	422	1203
52	429	1191
53	436	1179
54	443	1169
55	450	1158
56	456	1146
57	462	1132
58	468	1120
59	475	1108
60	481	1096
61	487	1085
62	499	1086
63	512	1088
64	521	1082
65	529	1075
66	536	1064
67	542	1053
68	548	1041
69	554	1030
70	561	1020
71	567	1009
72	574	999
73	582	991
74	589	982
75	596	973
76	603	964
77	613	959
78	621	951
79	629	943
80	637	936
81	645	929
82	653	921
83	663	915
84	670	907
85	677	897
86	686	891
87	695	885
88	704	879
89	713	872
90	725	869
91	737	865
92	744	856
93	755	851
94	767	847
95	778	843
96	790	838
97	801	834
98	811	828
99	822	822
100	836	820
101	850	817
102	864	814
103	875	808
104	885	801
105	897	795
106	908	789
107	924	787
108	940	785
109	955	781
110	974	781
111	991	779
112	1007	775
113	1023	772
114	1040	769
115	1057	765
116	1074	762
117	1089	756
118	1100	748
119	1115	743
120	1132	739
121	1145	732
122	1155	723
123	1163	713
124	1171	702
125	1178	692
126	1189	683
127	1206	678
128	1222	672
129	1238	667
130	1254	660
131	1267	652
132	1286	647
133	1298	639
134	1310	631
135	1318	620
136	1330	611
137	1340	602
138	1351	592
139	1361	583
140	1370	573
141	1379	563
142	1386	552
143	1393	541
144	1401	531
145	1407	520
146	1413	509
147	1420	498
148	1426	488
149	1431	477
150	1438	466
151	1443	455
152	1449	445
153	1455	434
154	1462	424
155	1469	414
156	1478	404
157	1484	394
158	1491	384
159	1498	374
160	1506	365
161	1509	354
162	1518	344
163	1528	335
164	1544	327
165	1556	318
166	1567	309
167	1580	301
168	1594	292
169	1609	283
170	1622	275
171	1635	266
172	1647	257
173	1658	247
174	1669	238
175	1678	228
176	1690	219
177	1704	210
178	1714	201
179	1727	191
180	1740	182
181	1752	173
182	1764	163
183	1775	154
184	1784	144
185	1791	134
186	1801	125
187	1810	115
188	1821	105
189	1831	96
190	1840	86
191	1847	76
192	1854	67
193	1861	57
194	1868	47
195	1874	38
196	1880	28
197	1886	19
198	1895	9
199	1907	0
